ID,注意事項
1,打瀬1～3丁目の可燃ごみと不燃ごみは、空気輸送収集対象のごみとなりますので、ごみステーションでの収集は資源物と有害ごみ（危険物）のみとなります。
2,松濤1丁目、神泉町の一部地域（繁華街地区）では収集日が異なります。ご注意ください。
